0.000,0.000,0.500,-1,0.000,0.000,-1
0.050,0.040,0.508,-1,0.800,0.169,-1
0.100,0.081,0.514,-1,0.827,0.103,-1
0.150,0.124,0.515,-1,0.848,0.035,-1
0.200,0.167,0.514,-1,0.863,-0.036,-1
0.250,0.210,0.508,-1,0.872,-0.109,-1
0.300,0.254,0.499,-1,0.875,-0.183,-1
0.350,0.298,0.486,-1,0.872,-0.259,-1
0.400,0.341,0.469,-1,0.862,-0.336,-1
0.450,0.383,0.449,-1,0.845,-0.412,-1
0.500,0.424,0.424,-1,0.822,-0.488,-1
0.550,0.464,0.396,-1,0.792,-0.562,-1
0.600,0.502,0.364,-1,0.755,-0.635,-1
0.650,0.537,0.329,-1,0.711,-0.705,-1
0.700,0.570,0.291,-1,0.662,-0.772,-1
0.750,0.601,0.249,-1,0.606,-0.836,-1
0.800,0.628,0.204,-1,0.544,-0.896,-1
0.850,0.651,0.156,-1,0.476,-0.951,-1
0.900,0.672,0.106,-1,0.403,-1.001,-1
0.950,0.688,0.054,-1,0.325,-1.045,-1
1.000,0.700,-0.000,-1,0.243,-1.083,-1
1.050,0.708,-0.056,-1,0.156,-1.114,-1
1.100,0.711,-0.113,-1,0.066,-1.139,-1
1.150,0.710,-0.170,-1,-0.026,-1.156,-1
1.200,0.704,-0.229,-1,-0.121,-1.165,-1
1.250,0.693,-0.287,-1,-0.217,-1.167,-1
1.300,0.677,-0.345,-1,-0.315,-1.160,-1
1.350,0.657,-0.402,-1,-0.413,-1.146,-1
1.400,0.631,-0.458,-1,-0.510,-1.123,-1
1.450,0.601,-0.513,-1,-0.606,-1.092,-1
1.500,0.566,-0.566,-1,-0.701,-1.052,-1
1.550,0.526,-0.616,-1,-0.793,-1.005,-1
1.600,0.482,-0.663,-1,-0.881,-0.949,-1
1.650,0.434,-0.708,-1,-0.966,-0.886,-1
1.700,0.381,-0.748,-1,-1.046,-0.815,-1
1.750,0.325,-0.785,-1,-1.121,-0.737,-1
1.800,0.266,-0.818,-1,-1.191,-0.652,-1
1.850,0.203,-0.846,-1,-1.253,-0.561,-1
1.900,0.138,-0.869,-1,-1.309,-0.464,-1
1.950,0.070,-0.887,-1,-1.357,-0.362,-1
2.000,-0.000,-0.900,-1,-1.397,-0.255,-1
2.050,-0.071,-0.907,-1,-1.428,-0.144,-1
2.100,-0.144,-0.909,-1,-1.450,-0.030,-1
2.150,-0.217,-0.904,-1,-1.464,0.087,-1
2.200,-0.290,-0.894,-1,-1.467,0.206,-1
2.250,-0.364,-0.878,-1,-1.461,0.326,-1
2.300,-0.436,-0.855,-1,-1.446,0.446,-1
2.350,-0.507,-0.827,-1,-1.420,0.566,-1
2.400,-0.576,-0.793,-1,-1.384,0.684,-1
2.450,-0.643,-0.753,-1,-1.338,0.801,-1
2.500,-0.707,-0.707,-1,-1.283,0.914,-1
2.550,-0.768,-0.656,-1,-1.218,1.023,-1
2.600,-0.825,-0.600,-1,-1.144,1.128,-1
2.650,-0.878,-0.538,-1,-1.060,1.227,-1
2.700,-0.927,-0.472,-1,-0.969,1.320,-1
2.750,-0.970,-0.402,-1,-0.869,1.407,-1
2.800,-1.008,-0.328,-1,-0.761,1.485,-1
2.850,-1.040,-0.250,-1,-0.646,1.555,-1
2.900,-1.067,-0.169,-1,-0.525,1.617,-1
2.950,-1.087,-0.086,-1,-0.399,1.669,-1
3.000,-1.100,-0.000,-1,-0.267,1.710,-1
3.050,-1.107,0.087,-1,-0.132,1.742,-1
3.100,-1.106,0.175,-1,0.007,1.762,-1
3.150,-1.099,0.264,-1,0.149,1.772,-1
3.200,-1.084,0.352,-1,0.291,1.770,-1
3.250,-1.062,0.440,-1,0.435,1.756,-1
3.300,-1.034,0.527,-1,0.578,1.731,-1
3.350,-0.998,0.611,-1,0.720,1.694,-1
3.400,-0.955,0.694,-1,0.859,1.645,-1
3.450,-0.905,0.773,-1,0.995,1.585,-1
3.500,-0.849,0.849,-1,1.127,1.514,-1
3.550,-0.786,0.920,-1,1.254,1.431,-1
3.600,-0.717,0.987,-1,1.375,1.338,-1
3.650,-0.643,1.049,-1,1.488,1.235,-1
3.700,-0.563,1.105,-1,1.595,1.122,-1
3.750,-0.478,1.155,-1,1.692,1.000,-1
3.800,-0.389,1.198,-1,1.780,0.870,-1
3.850,-0.296,1.235,-1,1.858,0.732,-1
3.900,-0.200,1.264,-1,1.925,0.587,-1
3.950,-0.101,1.286,-1,1.980,0.436,-1
4.000,-0.000,1.300,-1,2.024,0.280,-1
